"Timestamp","Age group","Gender","Medium of School ","How difficult is it for you to understanding English conversation?
ఆంగ్ల సంభాషణను అర్థం చేసుకోవడం మీకు ఎంత కష్టం?","How difficult do you find it to speak English confidently while discussing passages or articles?
ప్యాసేజ్‌లు లేదా వ్యాసాల గురించి మాట్లాడేటప్పుడు, ఆత్మవిశ్వాసంతో ఇంగ్లీష్ మాట్లాడటం మీకు ఎంత కష్టం?","How difficult is it for you to write sentences in English?
మీకు ఆంగ్లంలో వాక్యాలు రాయడం ఎంత కష్టం?","How difficult is it for you to read and understand English passages or articles?
ఇంగ్లీష్ పేరాగ్రాఫ్‌లు లేదా వ్యాసాలను చదివి అర్థం చేసుకోవడం మీకు ఎంత కష్టం?","How difficult is it for you to use English due to the influence of your mother tongue (Telugu)?
మీ మాతృభాష (తెలుగు) ప్రభావం వల్ల మీకు ఇంగ్లీష్ ఉపయోగించడం ఎంత కష్టంగా ఉంటుంది?","How difficult is it for you to understand lectures in English?
ఇంగ్లీషులో ఉపన్యాసాలను అర్థం చేసుకోవడం మీకు ఎంత కష్టం?","How difficult is it for you to watch English movies without subtitles?
సబ్‌టైటిల్స్ లేకుండా ఇంగ్లీష్ సినిమాలు చూడటం మీకు ఎంత కష్టం?","How difficult is it for you to watch English movies even with subtitles?
సబ్‌టైటిల్స్‌తో చూసినప్పటికీ, మీకు ఇంగ్లీష్ సినిమాలు చూడటం ఎంత కష్టంగా ఉంటుంది?","How do you feel while learning English?
ఇంగ్లీష్ నేర్చుకునేటప్పుడు మీకు ఎలా అనిపిస్తుంది?","As a Telugu medium student, how difficult was it for you to switch to an English-Medium Curriculum in higher studies?
తెలుగు మాధ్యమంలో చదివిన విద్యార్థిగా, ఉన్నత విద్యలో ఆంగ్ల మాధ్యమ పాఠ్య ప్రణాళికకు మారడం మీకు ఎంత కష్టంగా అనిపించింది?","How difficult do you find it to work in other Indian states due to language differences?
భాషా భేదాల కారణంగా ఇతర భారతీయ రాష్ట్రాలలో పని చేయడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?","How difficult do you find it to work in other countries due to language differences?
భాషా భేదాల కారణంగా ఇతర దేశాలలో పనిచేయడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?","How difficult do you find it to study in other Indian states or other countries due to language differences?
భాషా భేదాల కారణంగా ఇతర భారతీయ రాష్ట్రాలలో లేదా ఇతర దేశాలలో చదువుకోవడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?","How difficult do you find it to make friends who have different native languages?
వేర్వేరు మాతృభాషలు ఉన్నవారితో స్నేహం చేయడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?"
"2026/02/05 3:49:37 PM GMT+5:30","20-25","Female","English medium","1","1","1","1","1","1","1","1","5","1","1","1","1","1"
"2026/02/05 3:55:42 PM GMT+5:30","20-25","Female","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/02/05 3:56:23 PM GMT+5:30","15-19","Male","English medium","2","2","2","2","1","2","3","2","2","2","3","3","3","3"
"2026/02/05 3:57:58 PM GMT+5:30","20-25","Male","English medium","3","3","3","2","3","2","3","2","2","3","3","3","3","3"
"2026/02/05 4:00:40 PM GMT+5:30","20-25","Male","English medium","1","1","1","2","1","1","3","1","5","1","1","1","1","1"
"2026/02/05 4:01:37 PM GMT+5:30","15-19","Female","Telugu medium","1","1","1","1","1","1","1","1","5","1","1","1","1","1"
"2026/02/05 4:02:07 PM GMT+5:30","15-19","Male","English medium","1","3","2","1","1","1","1","1","1","1","1","1","1","1"
"2026/02/05 4:02:09 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/02/05 4:02:28 PM GMT+5:30","20-25","Male","English medium","2","4","3","1","1","2","1","2","3","5","5","5","5","2"
"2026/02/05 4:07:54 PM GMT+5:30","15-19","Male","English medium","2","2","1","1","1","2","1","1","2","2","3","3","3","3"
"2026/02/05 4:27:02 PM GMT+5:30","15-19","Male","Both","2","4","2","3","4","4","4","2","4","5","4","5","4","4"
"2026/02/05 4:32:47 PM GMT+5:30","20-25","Male","Telugu medium","1","2","2","4","3","1","3","2","2","4","2","1","4","1"
"2026/02/05 4:39:50 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/02/05 4:55:17 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","3","1","1","3","3","1","1","2"
"2026/02/05 5:05:48 PM GMT+5:30","15-19","Male","Both","4","4","4","4","5","4","4","5","4","5","4","4","5","4"
"2026/02/05 5:07:05 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","2","1","5","1","1","1","1","1"
"2026/02/05 5:07:28 PM GMT+5:30","15-19","Male","English medium","2","2","1","2","3","2","4","2","1","2","2","2","2","1"
"2026/02/05 5:09:27 PM GMT+5:30","20-25","Male","English medium","2","3","1","2","4","3","4","3","5","5","5","5","5","5"
"2026/02/05 5:24:15 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","3","1","1","1","1","1"
"2026/02/05 5:54:28 PM GMT+5:30","15-19","Male","English medium","1","2","1","1","3","1","3","2","2","1","3","3","3","3"
"2026/02/05 5:59:47 PM GMT+5:30","15-19","Male","English medium","4","3","3","5","4","4","3","4","4","4","4","4","3","4"
"2026/02/05 6:15:02 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","5","1","1","1","1","1"
"2026/02/05 6:16:28 PM GMT+5:30","15-19","Male","Both","1","1","1","1","2","3","4","3","4","2","3","2","2","2"
"2026/02/05 6:46:02 PM GMT+5:30","20-25","Male","English medium","2","3","3","3","3","3","3","4","3","3","4","4","4","4"
"2026/02/05 7:05:26 PM GMT+5:30","15-19","Male","English medium","1","1","2","1","1","1","2","1","4","4","3","5","4","3"
"2026/02/05 7:12:46 PM GMT+5:30","20-25","Male","English medium","2","3","1","2","4","1","4","3","3","3","2","2","1","1"
"2026/02/05 7:26:50 PM GMT+5:30","20-25","Male","English medium","3","3","2","3","4","2","4","3","2","3","3","3","3","2"
"2026/02/05 7:45:20 PM GMT+5:30","15-19","Male","English medium","2","3","4","2","3","2","3","1","3","3","3","4","3","3"
"2026/02/05 8:16:55 PM GMT+5:30","20-25","Male","English medium","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2026/02/05 8:47:48 PM GMT+5:30","15-19","Male","English medium","2","2","2","3","3","3","4","3","3","4","4","4","4","4"
"2026/02/05 9:14:12 PM GMT+5:30","15-19","Male","English medium","2","2","1","1","1","1","3","2","1","1","1","1","1","1"
"2026/02/05 9:42:02 PM GMT+5:30","15-19","Male","English medium","2","2","2","2","3","3","3","1","3","1","2","3","3","2"
"2026/02/05 10:37:33 PM GMT+5:30","15-19","Male","English medium","2","2","1","1","1","1","2","1","1","3","3","3","3","2"
"2026/02/05 11:59:25 PM GMT+5:30","20-25","Female","English medium","3","3","2","2","2","4","5","3","5","5","5","5","5","4"
"2026/02/06 5:40:50 PM GMT+5:30","15-19","Male","English medium","3","4","2","2","3","2","2","1","2","3","3","3","3","3"
"2026/02/06 7:21:19 PM GMT+5:30","15-19","Male","English medium","3","3","3","2","2","3","5","4","3","1","1","4","5","5"
"2026/02/07 8:14:49 AM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","5","3","4","3","3","3"
"2026/02/08 5:35:25 PM GMT+5:30","20-25","Female","Both","2","3","2","2","3","2","3","2","2","2","3","3","3","2"
"2026/02/08 9:02:11 PM GMT+5:30","20-25","Male","English medium","1","3","2","3","3","3","3","3","3","3","3","3","3","3"
"2026/02/08 9:08:02 PM GMT+5:30","20-25","Male","English medium","1","2","1","1","2","1","1","1","1","1","2","2","1","1"
"2026/02/08 10:10:24 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","2","1","3","1","1","1","1","1","1","1"
"2026/02/08 10:36:02 PM GMT+5:30","15-19","Female","English medium","1","2","1","2","1","1","1","1","1","1","1","2","1","3"
"2026/02/08 10:51:56 PM GMT+5:30","20-25","Male","English medium","1","3","1","1","2","1","3","1","2","1","2","1","1","1"
"2026/02/09 4:15:47 PM GMT+5:30","20-25","Female","English medium","5","4","4","4","2","3","1","2","1","3","5","3","2","1"
"2026/02/09 8:49:34 PM GMT+5:30","20-25","Male","English medium","2","3","3","2","2","3","3","4","2","3","2","2","2","3"
"2026/02/09 8:54:08 PM GMT+5:30","20-25","Male","English medium","3","3","3","4","2","3","2","4","3","3","4","3","3","3"
"2026/02/09 8:54:54 PM GMT+5:30","20-25","Male","English medium","1","2","1","1","2","1","2","1","1","1","2","2","2","2"
"2026/02/09 9:01:52 PM GMT+5:30","20-25","Male","English medium","1","2","1","2","2","3","3","2","2","2","2","2","2","2"
"2026/02/09 9:05:48 PM GMT+5:30","20-25","Male","English medium","3","3","2","2","3","3","3","3","3","3","3","3","3","3"
"2026/02/09 9:18:05 PM GMT+5:30","20-25","Male","English medium","1","2","1","2","1","1","2","1","1","1","3","4","4","3"
"2026/02/09 11:16:37 PM GMT+5:30","20-25","Male","English medium","1","5","3","2","3","1","2","3","2","1","2","2","2","2"
"2026/02/10 3:00:50 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/02/10 3:02:11 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","3","2","3","3","3","3","3","3"
"2026/02/10 3:13:11 PM GMT+5:30","20-25","Male","Both","1","1","1","1","2","1","1","1","1","1","1","1","1","1"
"2026/02/10 3:41:44 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","2","2","1","2"
"2026/02/10 3:55:35 PM GMT+5:30","20-25","Male","English medium","2","3","2","2","2","2","3","2","2","2","2","2","2","2"
"2026/02/10 4:01:18 PM GMT+5:30","20-25","Male","English medium","1","1","3","5","2","5","1","2","1","2","1","3","2","2"
"2026/02/10 4:17:56 PM GMT+5:30","20-25","Male","English medium","3","3","2","2","2","2","3","3","2","3","3","3","3","3"
"2026/02/10 8:42:00 PM GMT+5:30","20-25","Male","Both","3","2","3","3","3","2","2","3","2","3","3","2","2","3"
"2026/02/10 8:49:34 PM GMT+5:30","20-25","Male","English medium","3","2","5","4","2","1","1","1","3","4","5","1","1","2"
"2026/02/11 11:23:17 AM GMT+5:30","20-25","Male","English medium","4","4","4","3","4","4","3","4","4","3","4","2","3","3"
"2026/02/11 1:58:27 PM GMT+5:30","20-25","Male","Both","4","3","2","3","4","3","3","3","4","3","3","2","3","3"
"2026/02/11 2:07:57 PM GMT+5:30","20-25","Male","Both","2","3","3","4","4","3","2","1","5","4","5","5","4","3"
"2026/02/11 2:08:04 PM GMT+5:30","20-25","Male","Both","3","4","2","3","4","3","2","3","3","2","2","3","2","3"
"2026/02/11 2:11:27 PM GMT+5:30","20-25","Male","English medium","2","3","2","2","1","1","1","4","3","2","3","2","3","3"
"2026/02/11 2:19:10 PM GMT+5:30","20-25","Male","Both","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2026/02/11 5:22:20 PM GMT+5:30","15-19","Female","English medium","2","4","1","5","1","5","1","5","1","5","1","5","1","5"
"2026/02/11 5:23:14 PM GMT+5:30","under 10","Female","English medium","2","2","2","5","5","2","5","5","5","1","4","1","4","3"
"2026/02/11 5:28:41 PM GMT+5:30","20-25","Female","English medium","2","1","1","1","1","1","1","1","2","1","1","1","1","1"
"2026/02/11 6:48:27 PM GMT+5:30","10-14","Male","English medium","2","3","4","2","2","2","4","4","3","3","3","2","1","1"
"2026/02/11 6:49:24 PM GMT+5:30","10-14","Male","English medium","2","3","4","2","2","2","4","4","3","3","3","2","1","1"
"2026/02/11 7:35:14 PM GMT+5:30","20-25","Male","Telugu medium","1","4","3","2","3","3","3","3","3","3","3","3","3","3"
"2026/02/11 7:46:15 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","2","3","3","2","1"
"2026/02/11 7:53:20 PM GMT+5:30","20-25","Male","English medium","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2026/02/11 8:00:53 PM GMT+5:30","20-25","Male","English medium","1","2","2","1","1","2","2","1","1","1","2","2","2","3"
"2026/02/11 8:02:43 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/02/11 8:59:08 PM GMT+5:30","15-19","Female","English medium","1","2","1","2","2","1","2","2","2","1","3","2","3","2"
"2026/02/11 10:39:42 PM GMT+5:30","20-25","Male","English medium","3","4","3","3","4","3","3","2","5","2","2","1","1","2"
"2026/02/12 5:44:18 PM GMT+5:30","20-25","Male","English medium","3","2","2","3","2","2","3","2","3","4","4","3","3","3"
"2026/02/12 6:41:58 PM GMT+5:30","15-19","Male","Both","4","3","2","5","3","3","1","4","2","2","5","1","4","3"
"2026/02/12 6:45:07 PM GMT+5:30","15-19","Male","Both","2","3","5","1","1","2","4","1","3","3","2","3","4","3"
"2026/02/12 6:48:01 PM GMT+5:30","15-19","Male","Both","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2026/02/12 6:50:47 PM GMT+5:30","15-19","Male","Both","1","2","1","1","2","1","2","1","1","1","2","1","2","2"
"2026/02/12 6:54:17 PM GMT+5:30","15-19","Male","Both","3","2","3","1","2","2","5","4","2","5","1","1","2","4"
"2026/02/12 6:57:53 PM GMT+5:30","15-19","Male","Both","2","3","2","2","2","2","2","3","2","2","4","4","2","2"
"2026/02/12 6:58:42 PM GMT+5:30","15-19","Male","Both","4","5","4","4","4","3","3","5","4","4","3","4","4","5"
"2026/02/12 7:01:10 PM GMT+5:30","15-19","Male","Both","3","5","1","4","2","3","4","3","5","2","4","4","2","3"
"2026/02/12 7:05:26 PM GMT+5:30","15-19","Male","Both","4","3","4","3","4","4","5","3","4","4","4","4","4","4"
"2026/02/12 7:06:13 PM GMT+5:30","15-19","Male","Both","4","4","3","4","4","5","4","4","4","4","5","5","5","4"
"2026/02/12 7:07:16 PM GMT+5:30","15-19","Male","Both","4","4","4","4","4","5","5","4","4","4","4","4","4","4"
"2026/02/12 7:07:59 PM GMT+5:30","15-19","Male","Both","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2026/02/12 7:08:45 PM GMT+5:30","15-19","Male","Both","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2026/02/12 7:10:05 PM GMT+5:30","15-19","Female","Both","4","3","4","4","4","4","4","4","4","4","4","4","4","4"
"2026/02/12 7:10:52 PM GMT+5:30","15-19","Female","Both","3","3","4","4","4","4","4","4","4","4","4","4","4","4"
"2026/02/12 8:08:41 PM GMT+5:30","10-14","Male","English medium","4","1","2","3","3","3","4","1","3","3","3","3","3","1"
"2026/02/12 8:29:23 PM GMT+5:30","15-19","Female","English medium","2","2","2","1","2","2","2","2","1","2","2","2","2","2"
"2026/02/12 8:30:31 PM GMT+5:30","15-19","Female","English medium","2","1","2","2","2","2","2","3","4","2","3","2","2","2"
"2026/02/12 11:21:20 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/02/13 7:41:54 PM GMT+5:30","15-19","Male","English medium","2","2","1","2","1","1","2","2","1","1","2","2","1","1"
"2026/02/13 7:43:37 PM GMT+5:30","15-19","Male","English medium","1","2","2","1","1","2","3","2","2","1","1","2","2","1"
"2026/02/14 8:25:10 AM GMT+5:30","10-14","Male","English medium","2","3","4","2","2","2","4","4","3","3","3","2","1","1"
"2026/02/14 1:15:26 PM GMT+5:30","15-19","Male","English medium","2","2","2","3","3","2","4","2","2","2","3","3","3","1"
"2026/02/16 7:34:03 AM GMT+5:30","15-19","Male","Both","1","1","1","1","1","1","2","1","2","1","2","2","2","2"
"2026/02/18 1:59:19 PM GMT+5:30","20-25","Male","English medium","2","1","1","1","1","1","1","2","2","2","1","2","2","2"
"2026/02/20 10:39:17 AM GMT+5:30","15-19","Female","English medium","2","4","5","2","4","2","4","3","1","5","2","1","4","2"
"2026/02/20 8:19:57 PM GMT+5:30","15-19","Female","Both","2","1","2","4","2","4","2","2","1","1","1","1","2","4"
"2026/02/20 8:22:13 PM GMT+5:30","15-19","Female","English medium","2","3","1","2","1","2","3","4","3","2","4","5","5","3"
"2026/02/20 8:53:20 PM GMT+5:30","15-19","Female","Both","3","4","2","2","3","2","4","2","1","2","4","2","3","1"
"2026/02/20 9:34:39 PM GMT+5:30","15-19","Female","English medium","3","3","2","5","2","2","3","4","5","4","3","2","4","1"
"2026/02/20 9:38:33 PM GMT+5:30","15-19","Female","English medium","3","2","1","3","2","4","4","4","4","3","3","3","3","4"
